,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamento,aumento_reducao_caixa_equivalentes,datas,tic
14,-12170.0,-32770.0,-20290.0,-64489.99999999999,31/03/2021,BBDC4
15,177880.0,77130.0,-112300.0,145170.0,31/12/2020,BBDC4
16,52790.0,17180.0,-11140.0,56880.0,30/09/2020,BBDC4
17,54830.0,8130.000000000001,-4500.0,58770.0,30/06/2020,BBDC4
18,40370.0,-5460.0,5290.0,41830.0,31/03/2020,BBDC4
19,16000.0,41340.0,-90210.0,-32870.0,31/12/2019,BBDC4
20,-30000.0,-10200.0,-7930.0,-47730.0,30/09/2019,BBDC4
21,6100.0,-2800.0,3310.0,6700.0,30/06/2019,BBDC4
22,-13270.0,17900.0,1270.0,6120.0,31/03/2019,BBDC4
23,28950.0,22190.0,-81490.0,-30350.0,31/12/2018,BBDC4
24,20880.0,-14260.0,-2570.0,4350.0,30/09/2018,BBDC4
25,-21130.0,-20060.0,936.7,-40170.0,30/06/2018,BBDC4
26,11110.0,-17890.0,-2790.0,-9340.0,31/03/2018,BBDC4
27,71000.0,38440.0,-119200.0,-9760.0,31/12/2017,BBDC4
28,30390.0,-22990.0,-4530.0,2840.0,30/09/2017,BBDC4
29,-2920.0,-9250.0,2560.0,-8910.0,30/06/2017,BBDC4
30,10830.0,5090.0,-6220.0,9320.0,31/03/2017,BBDC4
31,89410.0,65820.0,-99420.0,55810.0,31/12/2016,BBDC4
32,40730.0,-19690.0,265.43,21310.0,30/09/2016,BBDC4
33,5220.0,-15740.0,482.72,-10040.0,30/06/2016,BBDC4
34,14200.0,20430.0,-3920.0,30720.0,31/03/2016,BBDC4
35,-22990.0,44710.0,-62900.0,-41180.0,31/12/2015,BBDC4
36,-20110.0,-4610.0,-120.39,-21770.0,30/09/2015,BBDC4
37,-28080.0,3430.0,-904.45,-25550.0,30/06/2015,BBDC4
38,1530.0,-3180.0,-979.99,-2620.0,31/03/2015,BBDC4
39,116870.0,53230.0,-66900.0,103200.0,31/12/2014,BBDC4
40,46760.0,583.42,4.82,47350.0,30/09/2014,BBDC4
41,-7150.0,16710.0,-706.72,8860.0,30/06/2014,BBDC4
42,15270.0,-5310.0,-2420.0,7530.0,31/03/2014,BBDC4
43,135280.0,33480.0,-82270.0,86500.0,31/12/2013,BBDC4
44,4810.0,12340.0,-1230.0,15920.0,30/09/2013,BBDC4
45,97330.0,-13820.0,924.83,84430.0,30/06/2013,BBDC4
46,-1860.0,-19470.0,-2350.0,-23680.0,31/03/2013,BBDC4
47,87060.0,11870.0,-72040.0,26890.0,31/12/2012,BBDC4
48,13530.0,26190.0,-568.75,39150.0,30/09/2012,BBDC4
49,27510.0,-23880.0,3780.0,7420.0,30/06/2012,BBDC4
50,28780.0,-28310.0,855.15,1330.0,31/03/2012,BBDC4
51,-1610.0,73350.0,-54930.0,16810.0,31/12/2011,BBDC4
52,-22470.0,9630.0,715.7,-12130.0,30/09/2011,BBDC4
53,-12590.0,-2670.0,-6.3,-15270.0,30/06/2011,BBDC4
54,29180.0,-5070.0,-2590.0,21520.0,31/03/2011,BBDC4
0,1390.0,2510.0,-2700.0,1200.0,30/09/2024,BBSE3
1,1070.0,623.17,-878.63,814.84,30/06/2024,BBSE3
2,429.65,1070.0,-2780.0,-1280.0,31/03/2024,BBSE3
3,1120.0,703.25,-442.6,1390.0,31/12/2023,BBSE3
4,1280.0,1120.0,-3390.0,-990.29,30/09/2023,BBSE3
5,1100.0,439.29,,1540.0,30/06/2023,BBSE3
6,188.8,300.34,-3750.0,-3260.0,31/03/2023,BBSE3
7,919.45,492.33,,1410.0,31/12/2022,BBSE3
8,1140.0,1570.0,-2070.0,641.61,30/09/2022,BBSE3
9,866.74,3.09,,869.81,30/06/2022,BBSE3
10,347.97,571.91,-1860.0,-937.13,31/03/2022,BBSE3
11,754.55,582.24,,1340.0,31/12/2021,BBSE3
12,845.74,361.04,-1040.0,166.73,30/09/2021,BBSE3
13,709.23,-304.69,,404.55,30/06/2021,BBSE3
14,516.24,421.45,-950.63,-12.94,31/03/2021,BBSE3
15,1010.0,-641.99,,367.86,31/12/2020,BBSE3
16,634.57,836.92,-1750.0,-276.02,30/09/2020,BBSE3
17,389.7,303.89,-2700.0,-2009.9999999999998,30/06/2020,BBSE3
18,250.58,293.2,-3820.0,-3270.0,31/03/2020,BBSE3
19,587.75,677.81,,1270.0,31/12/2019,BBSE3
20,-502.87,4580.0,-1790.0,2290.0,30/09/2019,BBSE3
21,635.79,523.12,,1160.0,30/06/2019,BBSE3
22,204.71,476.16,-4070.0000000000005,-3380.0,31/03/2019,BBSE3
23,383.19,2900.0,,3290.0,31/12/2018,BBSE3
24,493.51,564.92,-1570.0,-514.41,30/09/2018,BBSE3
25,495.33,468.05,,963.49,30/06/2018,BBSE3
26,98.39,491.54,-1910.0,-1320.0,31/03/2018,BBSE3
27,683.43,453.94,,1140.0,31/12/2017,BBSE3
28,502.65,1070.0,-1580.0,-8.42,30/09/2017,BBSE3
29,472.43,447.87,,920.24,30/06/2017,BBSE3
